provincia;canton;num_vivienda;num_hogar;num_persona;rol_hogar;sexo_nacim;anios;cultura;tip_colegio;nivel_academic;ocupacion;estado_conyugal;hijos;area;discapacidad;idiomas;tipo_vivienda
1;1;45;1;4;3;1;18;6;1;6;99;6;99;1;8;2;4
1;1;46;1;1;1;2;50;6;0;5;7;3;5;2;7;2;1
1;1;46;1;2;3;2;26;6;0;5;6;5;2;2;8;2;1
1;1;46;1;3;6;1;7;6;1;6;99;0;99;2;8;2;1
1;1;46;1;4;6;2;5;6;1;6;99;0;99;2;8;2;1
1;1;47;1;1;1;1;39;6;0;5;6;5;99;2;7;2;5
1;1;47;1;2;2;2;43;6;0;5;6;5;2;2;8;2;5
1;1;47;1;3;3;1;16;6;1;8;99;6;99;2;8;2;5
1;1;47;1;4;3;1;11;6;1;6;99;0;99;2;8;2;5
1;1;48;1;1;1;2;47;6;0;5;6;3;4;2;5;2;1
1;1;48;1;2;3;2;25;6;0;11;99;6;99;2;8;2;1
1;1;48;1;3;3;2;24;6;1;11;99;6;99;2;8;2;1
1;1;48;1;4;3;2;22;6;1;11;99;6;99;2;8;2;1
1;1;50;1;1;1;1;71;6;0;11;99;5;99;1;8;2;1
1;1;50;1;2;2;2;65;6;0;11;99;5;3;1;8;2;1
1;1;50;1;3;3;2;37;6;0;11;1;6;99;1;8;2;1
1;1;50;1;4;8;2;91;6;0;5;99;4;1;1;4;2;1
1;1;50;1;5;9;1;33;6;0;7;1;5;99;1;8;2;1
1;1;50;1;6;9;2;33;6;0;7;1;5;99;1;8;2;1
1;1;51;1;1;1;2;57;6;0;5;99;4;5;2;5;2;1
1;1;51;1;2;3;2;17;6;1;6;1;6;99;2;8;2;1
1;1;51;1;3;3;1;14;6;1;6;99;6;99;2;8;2;1
1;1;52;1;1;1;1;52;6;0;7;1;4;99;1;8;2;4
1;1;54;1;1;1;2;58;6;0;8;1;3;2;1;8;2;1
1;1;54;1;2;3;1;35;6;0;12;6;6;99;1;8;2;1
1;1;54;1;3;3;2;29;6;0;10;1;6;99;1;8;2;1
1;1;55;1;1;1;1;55;6;0;8;1;5;99;1;8;2;1
1;1;55;1;2;2;2;57;6;0;7;99;5;3;1;8;2;1
1;1;55;1;3;3;1;23;6;1;11;99;6;99;1;8;2;1
1;1;55;1;4;3;1;21;6;1;11;99;6;99;1;8;2;1
1;1;56;1;1;1;1;47;6;0;8;1;3;99;1;8;2;5
1;1;56;1;2;2;2;38;6;0;8;99;3;1;1;8;2;5
1;1;56;1;3;3;2;16;6;3;8;99;6;99;1;8;2;5
1;1;57;1;1;1;1;59;6;0;5;6;6;99;2;5;2;1
1;1;58;1;1;1;1;41;6;0;5;6;5;99;2;8;2;1
1;1;58;1;2;2;2;35;6;0;5;4;5;2;2;8;2;1
1;1;58;1;3;3;2;18;6;1;11;99;6;99;2;8;2;1
1;1;58;1;4;3;2;15;6;3;8;99;6;99;2;8;2;1
1;1;59;1;1;1;1;65;6;0;5;99;4;99;2;4;2;1
1;1;59;1;2;3;2;45;6;0;5;99;6;99;2;8;2;1
1;1;59;1;3;3;2;35;6;0;5;99;5;3;2;8;2;1
1;1;59;1;4;5;1;31;6;0;5;1;5;99;2;8;2;1
1;1;59;1;5;6;1;8;6;1;6;99;0;99;2;8;2;1
1;1;59;1;6;6;1;5;6;1;6;99;0;99;2;8;2;1
1;1;59;1;7;6;2;2;6;0;1;99;0;99;2;8;2;1
1;1;60;1;1;1;1;54;6;0;11;4;5;99;1;8;2;2
1;1;60;1;2;2;2;52;6;0;8;99;5;2;1;8;2;2
1;1;60;1;3;3;1;27;6;0;11;1;6;99;1;8;2;2
1;1;60;1;4;3;1;23;6;1;11;2;6;99;1;8;2;2
